number_of_components,n_nodes,n_edges,density,global_efficiency,diameter,shortest_path,city,year
1,2,1,1.0,1.0,1,1.0,Porsgrunn,2016
2,2,1,1.0,1.0,1,1.0,Porsgrunn,2022
1,2,1,1.0,1.0,1,1.0,Sasso Marconi,2016
1,2,1,1.0,1.0,1,1.0,Bjørkelangen,2018
1,2,1,1.0,1.0,1,1.0,Københoved,2021
2,2,1,1.0,1.0,1,1.0,Københoved,2022
1,2,1,1.0,1.0,1,1.0,Andorra La Vella,2019
1,3,3,1.0,1.0,1,1.0,Andorra La Vella,2021
1,3,3,1.0,1.0,1,1.0,Andorra La Vella,2022
1,2,1,1.0,1.0,1,1.0,Pozuelo De Alarcón,2023
1,2,1,1.0,1.0,1,1.0,Wijnegem,2013
1,3,3,1.0,1.0,1,1.0,Wijnegem,2020
1,2,1,1.0,1.0,1,1.0,London,1959
2,2,1,1.0,1.0,1,1.0,London,1965
3,2,1,1.0,1.0,1,1.0,London,1970
4,2,1,1.0,1.0,1,1.0,London,1972
5,2,1,1.0,1.0,1,1.0,London,1974
6,2,1,1.0,1.0,1,1.0,London,1977
6,3,3,1.0,1.0,1,1.0,London,1979
7,3,3,1.0,1.0,1,1.0,London,1980
8,3,3,1.0,1.0,1,1.0,London,1981
8,3,3,1.0,1.0,1,1.0,London,1982
8,3,3,1.0,1.0,1,1.0,London,1983
9,3,3,1.0,1.0,1,1.0,London,1984
11,3,3,1.0,1.0,1,1.0,London,1985
14,3,3,1.0,1.0,1,1.0,London,1986
15,4,3,0.5,0.75,2,1.5,London,1987
16,5,4,0.4,0.7,2,1.6,London,1988
17,7,6,0.2857142857142857,0.6111111111111109,3,1.9047619047619047,London,1989
18,9,8,0.2222222222222222,0.5416666666666666,4,2.2222222222222223,London,1990
18,11,10,0.18181818181818182,0.5121212121212123,4,2.327272727272727,London,1991
20,11,10,0.18181818181818182,0.5121212121212123,4,2.327272727272727,London,1992
29,13,12,0.15384615384615385,0.48717948717948745,4,2.4358974358974357,London,1993
34,20,19,0.1,0.40350877192982454,6,3.0789473684210527,London,1994
39,24,25,0.09057971014492754,0.3888026224982749,7,3.199275362318841,London,1995
39,30,31,0.07126436781609195,0.37747673782156493,7,3.213793103448276,London,1996
43,48,52,0.04609929078014184,0.2927501970055163,10,4.51063829787234,London,1997
49,56,62,0.04025974025974026,0.2817826455651148,11,4.661688311688311,London,1998
62,67,78,0.035278154681139755,0.2994346939055233,11,4.211668928086839,London,1999
73,89,111,0.028345250255362615,0.29724208375893957,10,4.057711950970378,London,2000
82,110,136,0.02268557130942452,0.26950865138938446,10,4.536113427856547,London,2001
90,129,161,0.019500968992248062,0.2612926048972505,10,4.622093023255814,London,2002
97,157,200,0.01633186346562143,0.24590670299267045,12,4.930752898905765,London,2003
115,196,275,0.014390371533228676,0.24818015318014663,11,4.728676085818943,London,2004
141,243,358,0.012175628337244499,0.2428928743565465,12,4.776145291296807,London,2005
166,283,437,0.010951557527002982,0.24848446787220943,12,4.628474049570208,London,2006
206,335,588,0.010510322638305479,0.2510417808823923,12,4.532094020913397,London,2007
243,403,729,0.008999666679011888,0.24589815134887413,15,4.682925323753441,London,2008
291,487,916,0.007740343583373471,0.2413933098405703,14,4.769817730118894,London,2009
365,622,1184,0.00613055387275994,0.23706608015745778,12,4.723187888013835,London,2010
445,797,1535,0.004839126624338758,0.22943262449803734,12,4.873567965296999,London,2011
541,1053,2025,0.0036560397777127816,0.21980654637033106,14,5.070873008135366,London,2012
670,1356,2749,0.002992304259325779,0.2164542624144006,17,5.125047622157638,London,2013
822,1732,3762,0.0025095961031215853,0.2159807804843115,14,5.077100369168124,London,2014
963,2265,5124,0.0019984555261741512,0.21462144033908526,15,5.0824577414800425,London,2015
1133,2871,6578,0.0015966465083370046,0.2119971900486978,16,5.132249807943668,London,2016
1318,3421,7933,0.001356089238979745,0.21101590895428132,16,5.174842689887536,London,2017
1491,4170,9778,0.0011248952385225425,0.20913531529422974,15,5.205251505200254,London,2018
1627,5032,11881,0.000938616191694167,0.20623289001907297,16,5.265932458818916,London,2019
1782,6035,14576,0.0008005450472728551,0.20412334939188614,19,5.323401196039345,London,2020
1893,6921,16993,0.0007096187944373036,0.2038538806121116,17,5.320392823049227,London,2021
1958,7291,17986,0.0006767838056540008,0.2037602221082376,15,5.30880833031836,London,2022
1975,7432,18395,0.0006661573523419406,0.20349719839696664,16,5.319371442965994,London,2023
1977,7454,18460,0.0006645706889549612,0.20369975243497157,16,5.311573563349193,London,2024
1,2,1,1.0,1.0,1,1.0,Limoges,2006
2,2,1,1.0,1.0,1,1.0,Limoges,2011
3,2,1,1.0,1.0,1,1.0,Draper,2017
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Draper,2018
4,4,3,0.5,0.7222222222222222,3,1.6666666666666667,Draper,2019
7,4,3,0.5,0.7222222222222222,3,1.6666666666666667,Draper,2020
8,4,3,0.5,0.7222222222222222,3,1.6666666666666667,Draper,2021
8,5,4,0.4,0.6416666666666667,4,2.0,Draper,2022
1,2,1,1.0,1.0,1,1.0,Cranbury,2014
2,2,1,1.0,1.0,1,1.0,Cranbury,2016
1,2,1,1.0,1.0,1,1.0,Lehi,2000
2,2,1,1.0,1.0,1,1.0,Lehi,2006
4,3,3,1.0,1.0,1,1.0,Lehi,2011
8,3,3,1.0,1.0,1,1.0,Lehi,2012
8,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Lehi,2013
13,5,5,0.5,0.7166666666666668,3,1.7,Lehi,2014
15,8,10,0.35714285714285715,0.6249999999999999,4,2.0,Lehi,2015
19,8,10,0.35714285714285715,0.6249999999999999,4,2.0,Lehi,2016
19,20,27,0.14210526315789473,0.40879699248120277,7,3.373684210526316,Lehi,2017
18,27,37,0.10541310541310542,0.3635124135124125,7,3.7321937321937324,Lehi,2018
20,28,39,0.10317460317460317,0.3599395313681016,7,3.7804232804232805,Lehi,2019
23,32,49,0.09879032258064516,0.3505232334869418,7,3.8891129032258065,Lehi,2020
24,39,61,0.08232118758434548,0.33338956365272127,8,4.014844804318488,Lehi,2021
23,40,62,0.07948717948717948,0.3306517094017089,8,4.03974358974359,Lehi,2022
25,40,62,0.07948717948717948,0.3306517094017089,8,4.03974358974359,Lehi,2023
25,40,63,0.08076923076923077,0.33182692307692285,8,4.0346153846153845,Lehi,2024
1,2,1,1.0,1.0,1,1.0,Marblehead,2012
2,2,1,1.0,1.0,1,1.0,Marblehead,2016
1,2,1,1.0,1.0,1,1.0,Bolton,2007
2,2,1,1.0,1.0,1,1.0,Bolton,2015
3,2,1,1.0,1.0,1,1.0,Bolton,2016
4,2,1,1.0,1.0,1,1.0,Bolton,2020
5,2,1,1.0,1.0,1,1.0,Bolton,2021
1,2,1,1.0,1.0,1,1.0,Yelverton,2021
1,2,1,1.0,1.0,1,1.0,Eskisehir,2008
1,2,1,1.0,1.0,1,1.0,Eskisehir,2017
1,2,1,1.0,1.0,1,1.0,Eskisehir,2018
1,2,1,1.0,1.0,1,1.0,Cadiz,2012
2,2,1,1.0,1.0,1,1.0,Cadiz,2013
2,3,3,1.0,1.0,1,1.0,Cadiz,2014
1,2,1,1.0,1.0,1,1.0,Norcross,1998
2,2,1,1.0,1.0,1,1.0,Norcross,2004
3,3,3,1.0,1.0,1,1.0,Norcross,2008
4,3,3,1.0,1.0,1,1.0,Norcross,2009
5,3,3,1.0,1.0,1,1.0,Norcross,2010
6,3,3,1.0,1.0,1,1.0,Norcross,2012
7,3,3,1.0,1.0,1,1.0,Norcross,2013
8,4,6,1.0,1.0,1,1.0,Norcross,2015
9,4,6,1.0,1.0,1,1.0,Norcross,2016
10,4,6,1.0,1.0,1,1.0,Norcross,2017
11,4,6,1.0,1.0,1,1.0,Norcross,2018
11,5,10,1.0,1.0,1,1.0,Norcross,2020
12,5,10,1.0,1.0,1,1.0,Norcross,2021
1,2,1,1.0,1.0,1,1.0,Rowlett,2017
1,2,1,1.0,1.0,1,1.0,Turin,1899
2,2,1,1.0,1.0,1,1.0,Turin,2005
3,2,1,1.0,1.0,1,1.0,Turin,2007
4,2,1,1.0,1.0,1,1.0,Turin,2014
6,2,1,1.0,1.0,1,1.0,Turin,2015
9,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Turin,2017
11,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Turin,2018
17,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Turin,2019
19,6,7,0.4666666666666667,0.6833333333333333,4,1.8666666666666667,Turin,2020
20,7,8,0.38095238095238093,0.6206349206349204,5,2.142857142857143,Turin,2021
21,7,8,0.38095238095238093,0.6206349206349204,5,2.142857142857143,Turin,2022
1,2,1,1.0,1.0,1,1.0,Älvsjö,2018
1,2,1,1.0,1.0,1,1.0,Dekalb,2015
1,2,1,1.0,1.0,1,1.0,Kristianstad,2013
1,2,1,1.0,1.0,1,1.0,Mount Laurel,2004
2,2,1,1.0,1.0,1,1.0,Mount Laurel,2008
3,2,1,1.0,1.0,1,1.0,Mount Laurel,2016
1,2,1,1.0,1.0,1,1.0,Acushnet,2017
1,2,1,1.0,1.0,1,1.0,Mysore,2014
2,2,1,1.0,1.0,1,1.0,Mysore,2016
1,2,1,1.0,1.0,1,1.0,Fairhope,2020
1,2,1,1.0,1.0,1,1.0,Perrysburg,2010
1,2,1,1.0,1.0,1,1.0,Hauppauge,2011
1,3,3,1.0,1.0,1,1.0,Hauppauge,2012
2,3,3,1.0,1.0,1,1.0,Hauppauge,2018
4,3,3,1.0,1.0,1,1.0,Hauppauge,2019
5,3,3,1.0,1.0,1,1.0,Hauppauge,2020
7,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Hauppauge,2021
1,2,1,1.0,1.0,1,1.0,Temecula,1986
3,2,1,1.0,1.0,1,1.0,Temecula,2010
4,2,1,1.0,1.0,1,1.0,Temecula,2011
5,2,1,1.0,1.0,1,1.0,Temecula,2012
5,3,3,1.0,1.0,1,1.0,Temecula,2014
6,3,3,1.0,1.0,1,1.0,Temecula,2018
6,3,3,1.0,1.0,1,1.0,Temecula,2021
1,2,1,1.0,1.0,1,1.0,Purnea,2009
1,2,1,1.0,1.0,1,1.0,Bromley,2019
1,2,1,1.0,1.0,1,1.0,Columbia,1997
2,2,1,1.0,1.0,1,1.0,Columbia,1999
3,2,1,1.0,1.0,1,1.0,Columbia,2000
4,2,1,1.0,1.0,1,1.0,Columbia,2003
5,2,1,1.0,1.0,1,1.0,Columbia,2006
6,3,3,1.0,1.0,1,1.0,Columbia,2007
6,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Columbia,2008
7,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Columbia,2009
8,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Columbia,2010
12,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Columbia,2011
14,5,7,0.7,0.85,2,1.3,Columbia,2012
15,5,7,0.7,0.85,2,1.3,Columbia,2013
20,6,8,0.5333333333333333,0.7333333333333332,3,1.6666666666666667,Columbia,2014
22,11,15,0.2727272727272727,0.593939393939394,3,1.981818181818182,Columbia,2015
27,13,17,0.21794871794871795,0.5395299145299141,4,2.230769230769231,Columbia,2016
31,14,19,0.2087912087912088,0.525641025641025,4,2.3076923076923075,Columbia,2017
34,16,21,0.175,0.5138888888888882,4,2.3,Columbia,2018
39,16,21,0.175,0.5138888888888882,4,2.3,Columbia,2019
46,18,24,0.1568627450980392,0.4972766884531595,4,2.372549019607843,Columbia,2020
49,18,24,0.1568627450980392,0.4972766884531595,4,2.372549019607843,Columbia,2021
50,18,24,0.1568627450980392,0.4972766884531595,4,2.372549019607843,Columbia,2022
1,2,1,1.0,1.0,1,1.0,Heusden,2009
1,3,3,1.0,1.0,1,1.0,Heusden,2010
1,2,1,1.0,1.0,1,1.0,Red Bluff,2019
1,2,1,1.0,1.0,1,1.0,Valparaiso,2018
1,2,1,1.0,1.0,1,1.0,Port-saint-père,2019
1,2,1,1.0,1.0,1,1.0,Lee,2018
1,2,1,1.0,1.0,1,1.0,Nanuet,2004
1,2,1,1.0,1.0,1,1.0,Grand Island,2010
1,2,1,1.0,1.0,1,1.0,Lake Oswego,2001
2,2,1,1.0,1.0,1,1.0,Lake Oswego,2007
3,2,1,1.0,1.0,1,1.0,Lake Oswego,2010
4,2,1,1.0,1.0,1,1.0,Lake Oswego,2011
5,2,1,1.0,1.0,1,1.0,Lake Oswego,2021
1,2,1,1.0,1.0,1,1.0,Bolzano,2014
2,2,1,1.0,1.0,1,1.0,Bolzano,2018
3,2,1,1.0,1.0,1,1.0,Bolzano,2022
1,2,1,1.0,1.0,1,1.0,Haddonfield,1996
2,2,1,1.0,1.0,1,1.0,Haddonfield,2007
3,2,1,1.0,1.0,1,1.0,Haddonfield,2019
1,2,1,1.0,1.0,1,1.0,Tiruppur,2019
2,2,1,1.0,1.0,1,1.0,Tiruppur,2020
1,2,1,1.0,1.0,1,1.0,Valhalla,2018
1,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Valhalla,2020
1,2,1,1.0,1.0,1,1.0,Pottsville,2014
1,2,1,1.0,1.0,1,1.0,Port St. Lucie,2015
2,2,1,1.0,1.0,1,1.0,Port St. Lucie,2018
1,2,1,1.0,1.0,1,1.0,El Dorado,2016
1,3,3,1.0,1.0,1,1.0,El Dorado,2019
1,2,1,1.0,1.0,1,1.0,Skofja Loka,2019
1,2,1,1.0,1.0,1,1.0,Rogers,2013
1,2,1,1.0,1.0,1,1.0,Rogers,2014
2,2,1,1.0,1.0,1,1.0,Rogers,2018
2,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Rogers,2020
1,2,1,1.0,1.0,1,1.0,Tangstedt,2019
1,2,1,1.0,1.0,1,1.0,Yakima,2000
2,2,1,1.0,1.0,1,1.0,Yakima,2016
3,2,1,1.0,1.0,1,1.0,Yakima,2020
1,2,1,1.0,1.0,1,1.0,Milton,2022
1,2,1,1.0,1.0,1,1.0,Plano,1988
2,2,1,1.0,1.0,1,1.0,Plano,1992
2,2,1,1.0,1.0,1,1.0,Plano,1996
2,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Plano,2001
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Plano,2002
4,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Plano,2003
5,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Plano,2004
5,3,3,1.0,1.0,1,1.0,Plano,2005
9,3,3,1.0,1.0,1,1.0,Plano,2006
10,3,3,1.0,1.0,1,1.0,Plano,2007
11,3,3,1.0,1.0,1,1.0,Plano,2008
12,3,3,1.0,1.0,1,1.0,Plano,2009
13,4,6,1.0,1.0,1,1.0,Plano,2010
13,4,6,1.0,1.0,1,1.0,Plano,2011
17,4,6,1.0,1.0,1,1.0,Plano,2012
21,4,6,1.0,1.0,1,1.0,Plano,2013
26,4,6,1.0,1.0,1,1.0,Plano,2014
30,4,6,1.0,1.0,1,1.0,Plano,2015
34,4,6,1.0,1.0,1,1.0,Plano,2016
41,4,6,1.0,1.0,1,1.0,Plano,2017
45,4,6,1.0,1.0,1,1.0,Plano,2018
47,4,6,1.0,1.0,1,1.0,Plano,2019
57,4,6,1.0,1.0,1,1.0,Plano,2020
63,4,6,1.0,1.0,1,1.0,Plano,2021
65,5,7,0.7,0.85,2,1.3,Plano,2022
67,5,7,0.7,0.85,2,1.3,Plano,2023
1,2,1,1.0,1.0,1,1.0,New Hyde Park,2010
1,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,New Hyde Park,2018
1,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,New Hyde Park,2021
1,2,1,1.0,1.0,1,1.0,Tacoma,2001
2,2,1,1.0,1.0,1,1.0,Tacoma,2014
3,2,1,1.0,1.0,1,1.0,Tacoma,2015
4,2,1,1.0,1.0,1,1.0,Tacoma,2018
5,2,1,1.0,1.0,1,1.0,Tacoma,2021
6,2,1,1.0,1.0,1,1.0,Tacoma,2023
1,2,1,1.0,1.0,1,1.0,Zaventem,2008
2,2,1,1.0,1.0,1,1.0,Zaventem,2010
1,2,1,1.0,1.0,1,1.0,Rochdale,2020
1,2,1,1.0,1.0,1,1.0,Monza,1927
2,2,1,1.0,1.0,1,1.0,Monza,2014
1,2,1,1.0,1.0,1,1.0,Towson,2001
2,2,1,1.0,1.0,1,1.0,Towson,2013
2,3,3,1.0,1.0,1,1.0,Towson,2014
3,4,6,1.0,1.0,1,1.0,Towson,2015
1,2,1,1.0,1.0,1,1.0,Roseville,2013
3,2,1,1.0,1.0,1,1.0,Roseville,2015
5,2,1,1.0,1.0,1,1.0,Roseville,2017
8,2,1,1.0,1.0,1,1.0,Roseville,2018
9,2,1,1.0,1.0,1,1.0,Roseville,2021
1,2,1,1.0,1.0,1,1.0,Olive Branch,2019
1,2,1,1.0,1.0,1,1.0,York,1998
2,2,1,1.0,1.0,1,1.0,York,2002
2,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,York,2011
2,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,York,2012
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,York,2014
5,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,York,2016
6,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,York,2017
7,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,York,2018
8,4,3,0.5,0.7222222222222222,3,1.6666666666666667,York,2021
9,4,3,0.5,0.7222222222222222,3,1.6666666666666667,York,2022
1,2,1,1.0,1.0,1,1.0,Bala Cynwyd,2014
2,2,1,1.0,1.0,1,1.0,Bala Cynwyd,2015
3,2,1,1.0,1.0,1,1.0,Bala Cynwyd,2016
3,2,1,1.0,1.0,1,1.0,Bala Cynwyd,2017
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Bala Cynwyd,2020
1,2,1,1.0,1.0,1,1.0,Pelham,2020
1,3,3,1.0,1.0,1,1.0,Somersworth,2016
1,2,1,1.0,1.0,1,1.0,Ashland,2007
2,2,1,1.0,1.0,1,1.0,Ashland,2014
2,3,3,1.0,1.0,1,1.0,Ashland,2019
1,2,1,1.0,1.0,1,1.0,Coraopolis,2006
2,2,1,1.0,1.0,1,1.0,Coraopolis,2017
1,3,3,1.0,1.0,1,1.0,Sierre,2023
1,2,1,1.0,1.0,1,1.0,Palm Harbor,2013
2,2,1,1.0,1.0,1,1.0,Palm Harbor,2015
3,2,1,1.0,1.0,1,1.0,Palm Harbor,2019
1,2,1,1.0,1.0,1,1.0,Bloomfield Hills,1985
2,2,1,1.0,1.0,1,1.0,Bloomfield Hills,2003
3,2,1,1.0,1.0,1,1.0,Bloomfield Hills,2009
4,2,1,1.0,1.0,1,1.0,Bloomfield Hills,2011
5,2,1,1.0,1.0,1,1.0,Bloomfield Hills,2017
6,2,1,1.0,1.0,1,1.0,Bloomfield Hills,2018
7,2,1,1.0,1.0,1,1.0,Bloomfield Hills,2019
8,2,1,1.0,1.0,1,1.0,Bloomfield Hills,2021
1,2,1,1.0,1.0,1,1.0,Guatemala City,2011
2,2,1,1.0,1.0,1,1.0,Guatemala City,2014
3,2,1,1.0,1.0,1,1.0,Guatemala City,2016
4,2,1,1.0,1.0,1,1.0,Guatemala City,2017
4,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Guatemala City,2018
5,4,3,0.5,0.7222222222222222,3,1.6666666666666667,Guatemala City,2019
6,4,3,0.5,0.7222222222222222,3,1.6666666666666667,Guatemala City,2020
6,5,4,0.4,0.6666666666666666,3,1.8,Guatemala City,2021
6,5,4,0.4,0.6666666666666666,3,1.8,Guatemala City,2022
6,5,4,0.4,0.6666666666666666,3,1.8,Guatemala City,2023
1,2,1,1.0,1.0,1,1.0,Berwyn,2007
3,2,1,1.0,1.0,1,1.0,Berwyn,2014
3,2,1,1.0,1.0,1,1.0,Berwyn,2016
1,2,1,1.0,1.0,1,1.0,Katy,2010
2,2,1,1.0,1.0,1,1.0,Katy,2012
3,2,1,1.0,1.0,1,1.0,Katy,2015
3,3,3,1.0,1.0,1,1.0,Katy,2017
4,3,3,1.0,1.0,1,1.0,Katy,2018
5,3,3,1.0,1.0,1,1.0,Katy,2021
7,3,3,1.0,1.0,1,1.0,Katy,2022
1,2,1,1.0,1.0,1,1.0,Dothan,2006
1,2,1,1.0,1.0,1,1.0,Voorburg,2010
1,2,1,1.0,1.0,1,1.0,Charlottetown,2015
2,2,1,1.0,1.0,1,1.0,Charlottetown,2016
3,2,1,1.0,1.0,1,1.0,Charlottetown,2019
5,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Charlottetown,2020
5,3,3,1.0,1.0,1,1.0,Charlottetown,2021
1,2,1,1.0,1.0,1,1.0,Blackwood,2019
1,2,1,1.0,1.0,1,1.0,Burgas,2009
1,2,1,1.0,1.0,1,1.0,Zary,2012
1,2,1,1.0,1.0,1,1.0,Manisa,2021
1,2,1,1.0,1.0,1,1.0,New Glasgow,2011
1,2,1,1.0,1.0,1,1.0,Santa Ana,1992
2,2,1,1.0,1.0,1,1.0,Santa Ana,1995
3,2,1,1.0,1.0,1,1.0,Santa Ana,1998
4,2,1,1.0,1.0,1,1.0,Santa Ana,2001
5,2,1,1.0,1.0,1,1.0,Santa Ana,2004
6,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2009
8,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2010
8,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2011
8,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2012
9,4,6,1.0,1.0,1,1.0,Santa Ana,2013
10,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2014
11,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2015
12,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2017
13,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2018
14,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2019
15,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2021
16,4,4,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Santa Ana,2022
1,2,1,1.0,1.0,1,1.0,Invercargill,2020
1,2,1,1.0,1.0,1,1.0,Frydek-mistek,2015
1,3,3,1.0,1.0,1,1.0,Saint Charles,2018
2,3,3,1.0,1.0,1,1.0,Saint Charles,2021
1,2,1,1.0,1.0,1,1.0,Göppingen,1999
2,2,1,1.0,1.0,1,1.0,Göppingen,2011
1,2,1,1.0,1.0,1,1.0,Baxter,2009
2,2,1,1.0,1.0,1,1.0,Baxter,2012
1,2,1,1.0,1.0,1,1.0,Narayanganj,2017
2,2,1,1.0,1.0,1,1.0,Narayanganj,2021
3,3,3,1.0,1.0,1,1.0,Narayanganj,2022
3,3,3,1.0,1.0,1,1.0,Narayanganj,2023
1,2,1,1.0,1.0,1,1.0,Vicente López,2018
1,2,1,1.0,1.0,1,1.0,Plan-les-ouates,1987
2,2,1,1.0,1.0,1,1.0,Plan-les-ouates,2018
3,2,1,1.0,1.0,1,1.0,Plan-les-ouates,2019
1,2,1,1.0,1.0,1,1.0,Frisco,2005
2,2,1,1.0,1.0,1,1.0,Frisco,2009
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Frisco,2010
4,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Frisco,2011
5,3,3,1.0,1.0,1,1.0,Frisco,2013
7,3,3,1.0,1.0,1,1.0,Frisco,2014
10,3,3,1.0,1.0,1,1.0,Frisco,2015
12,3,3,1.0,1.0,1,1.0,Frisco,2016
17,3,3,1.0,1.0,1,1.0,Frisco,2017
19,4,6,1.0,1.0,1,1.0,Frisco,2018
22,5,5,0.5,0.75,2,1.5,Frisco,2019
27,5,5,0.5,0.75,2,1.5,Frisco,2020
29,5,5,0.5,0.75,2,1.5,Frisco,2021
30,5,5,0.5,0.75,2,1.5,Frisco,2022
31,5,5,0.5,0.75,2,1.5,Frisco,2023
1,2,1,1.0,1.0,1,1.0,Haaltert,2017
1,2,1,1.0,1.0,1,1.0,Montgomery,1993
1,3,3,1.0,1.0,1,1.0,Montgomery,2000
2,3,3,1.0,1.0,1,1.0,Montgomery,2007
3,3,3,1.0,1.0,1,1.0,Montgomery,2020
1,2,1,1.0,1.0,1,1.0,Lyndhurst,2011
1,2,1,1.0,1.0,1,1.0,Canfield,2013
1,2,1,1.0,1.0,1,1.0,Bayrampasa,2016
1,2,1,1.0,1.0,1,1.0,Minato,1986
1,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Minato,2004
2,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Minato,2016
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Minato,2020
1,2,1,1.0,1.0,1,1.0,Essen,1999
2,2,1,1.0,1.0,1,1.0,Essen,2002
2,2,1,1.0,1.0,1,1.0,Essen,2009
2,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2010
2,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2011
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2012
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2013
3,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2015
4,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2016
5,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2017
6,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2018
8,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2019
8,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2020
9,3,2,0.6666666666666666,0.8333333333333334,2,1.3333333333333333,Essen,2021
9,4,6,1.0,1.0,1,1.0,Essen,2022
1,2,1,1.0,1.0,1,1.0,Malvern,2005
2,2,1,1.0,1.0,1,1.0,Malvern,2006
4,2,1,1.0,1.0,1,1.0,Malvern,2009
5,3,3,1.0,1.0,1,1.0,Malvern,2011
6,5,7,0.7,0.85,2,1.3,Malvern,2012
8,5,7,0.7,0.85,2,1.3,Malvern,2013
9,6,11,0.7333333333333333,0.8666666666666667,2,1.2666666666666666,Malvern,2014
9,7,16,0.7619047619047619,0.8809523809523809,2,1.2380952380952381,Malvern,2015
9,8,22,0.7857142857142857,0.8928571428571429,2,1.2142857142857142,Malvern,2017
10,9,23,0.6388888888888888,0.8148148148148148,3,1.3888888888888888,Malvern,2022
1,2,1,1.0,1.0,1,1.0,Shrewsbury,2000
2,2,1,1.0,1.0,1,1.0,Shrewsbury,2012
3,2,1,1.0,1.0,1,1.0,Shrewsbury,2014
5,2,1,1.0,1.0,1,1.0,Shrewsbury,2015
7,2,1,1.0,1.0,1,1.0,Shrewsbury,2022
1,2,1,1.0,1.0,1,1.0,Miamisburg,2008
2,2,1,1.0,1.0,1,1.0,Miamisburg,2015
1,2,1,1.0,1.0,1,1.0,Napier,2022
1,2,1,1.0,1.0,1,1.0,Amstelveen,2007
2,2,1,1.0,1.0,1,1.0,Amstelveen,2012
3,3,3,1.0,1.0,1,1.0,Amstelveen,2014
4,3,3,1.0,1.0,1,1.0,Amstelveen,2017
5,3,3,1.0,1.0,1,1.0,Amstelveen,2019
1,2,1,1.0,1.0,1,1.0,Wollongong,2014
